scientist,scientistLabel,birthDate,image,article
"http://www.wikidata.org/entity/Q205981","Alexander Friedmann","1888-06-16T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Aleksandr%20Fridman%20cropped.png","https://no.wikipedia.org/wiki/Aleksandr_Fridmann"
"http://www.wikidata.org/entity/Q210898","James Lovelock","1919-07-26T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/James%20Lovelock%2C%202005%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/James_Lovelock"
"http://www.wikidata.org/entity/Q211097","Finn E. Kydland","1943-12-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Finn%20E%20Kydland%202015%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Finn_E._Kydland"
"http://www.wikidata.org/entity/Q214475","Ayaan Hirsi Ali","1969-11-13T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Ayaan%20Hirsi%20Ali%20by%20Gage%20Skidmore.jpg","https://no.wikipedia.org/wiki/Ayaan_Hirsi_Ali"
"http://www.wikidata.org/entity/Q227897","Johann Bernoulli","1667-08-06T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Bernoulli2.jpg","https://no.wikipedia.org/wiki/Johann_Bernoulli"
"http://www.wikidata.org/entity/Q234888","Vera Rubin","1928-07-23T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Vera%20Rubin%20with%20antique%20globes.jpg","https://no.wikipedia.org/wiki/Vera_Rubin"
"http://www.wikidata.org/entity/Q237220","Hiram Bingham III","1875-11-19T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Hiram%20Bingham%20of%20Conn.%2C%20%281-9-25%29%20LCCN2016839105%20%283x4a%29.jpg","https://no.wikipedia.org/wiki/Hiram_Bingham"
"http://www.wikidata.org/entity/Q243075","Margaret Lindsay Huggins","1848-08-14T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Margaret%20Lindsay%20Huggins.jpg","https://no.wikipedia.org/wiki/Margaret_Lindsay_Huggins"
"http://www.wikidata.org/entity/Q268702","Mary Somerville","1780-12-26T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Phillips%20-%20Mary%20Fairfax%2C%20Mrs%20William%20Somerville%2C%201780%20-%201872.%20Writer%20on%20science%20-%20Google%20Art%20Project.jpg","https://no.wikipedia.org/wiki/Mary_Somerville"
"http://www.wikidata.org/entity/Q275040","Émile Coué","1857-02-26T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20Cou%C3%A9%203.jpg","https://no.wikipedia.org/wiki/%C3%89mile_Cou%C3%A9"
"http://www.wikidata.org/entity/Q294169","Jan Baptist van Helmont","1577-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Baptiste%20van%20Helmont.jpg","https://no.wikipedia.org/wiki/Johann_Baptist_van_Helmont"
"http://www.wikidata.org/entity/Q298341","Raymond Kurzweil","1948-02-12T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Ray%20Kurzweil%20%40%20SXSW%202017%20%2832594766664%29.jpg","https://no.wikipedia.org/wiki/Raymond_Kurzweil"
"http://www.wikidata.org/entity/Q298427","Nizam al-Mulk","1018-04-16T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Dinar%20of%20Muhammad%20Alp%20Arslan%2C%20AH%20455-465.jpg","https://no.wikipedia.org/wiki/Nizam_al-Mulk"
"http://www.wikidata.org/entity/Q302835","Nasir al-Din al-Tusi","1201-02-25T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Nasir%20al-Din%20Tusi.jpg","https://no.wikipedia.org/wiki/Al-T%C3%BBsi"
"http://www.wikidata.org/entity/Q306914","Abbé Faria","1756-05-30T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/AbaDeFaria.JPG","https://no.wikipedia.org/wiki/Jos%C3%A9_Cust%C3%B3dio_de_Faria"
"http://www.wikidata.org/entity/Q310767","Lazare Carnot","1753-05-13T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Lazare-Carnot-par-Boilly.jpg","https://no.wikipedia.org/wiki/Lazare_Carnot"
"http://www.wikidata.org/entity/Q310773","Abdul Qadeer Khan","1936-04-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Abdul%20Qadeer%20Khan.jpg","https://no.wikipedia.org/wiki/Abdul_Kadir_Khan"
"http://www.wikidata.org/entity/Q311005","Alain Badiou","1937-01-17T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20Badiou-2.jpg","https://no.wikipedia.org/wiki/Alain_Badiou"
"http://www.wikidata.org/entity/Q311187","Francesco Redi","1626-02-18T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Francesco%20Redi%2C%20founder%20of%20experimental%20biology.jpg","https://no.wikipedia.org/wiki/Francesco_Redi"
"http://www.wikidata.org/entity/Q311729","Timothy Garton Ash","1955-07-12T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/2019-05-30%20Timothy%20Garton%20Ash-6011.jpg","https://no.wikipedia.org/wiki/Timothy_Garton_Ash"
"http://www.wikidata.org/entity/Q313210","Vladimir Shukhov","1853-08-28T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Vladimir%20Grigoryevich%20Shukhov%201891.jpg","https://no.wikipedia.org/wiki/Vladimir_Sjukhov"
"http://www.wikidata.org/entity/Q313211","Alberto Santos-Dumont","1873-07-20T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Santos%20Dumont%20-%201-13675-0000-0000%2C%20Acervo%20do%20Museu%20Paulista%20da%20USP.jpg","https://no.wikipedia.org/wiki/Alberto_Santos-Dumont"
"http://www.wikidata.org/entity/Q316310","Alberto Granado","1922-08-08T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Alberto-granado-scaled.JPG","https://no.wikipedia.org/wiki/Alberto_Granado"
"http://www.wikidata.org/entity/Q317149","John Fisher","1469-10-28T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/John%20Fisher%20%28painting%29.jpg","https://no.wikipedia.org/wiki/John_Fisher"
"http://www.wikidata.org/entity/Q317953","Lawrence Summers","1954-11-30T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Lawrence%20Summers%20Treasury%20portrait.jpg","https://no.wikipedia.org/wiki/Lawrence_Summers"
"http://www.wikidata.org/entity/Q318126","Ernst Öpik","1893-10-22T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/ErnstJuliusOpik.jpg","https://no.wikipedia.org/wiki/Ernst_%C3%96pik"
"http://www.wikidata.org/entity/Q320298","Peter Ludwig Mejdell Sylow","1832-12-12T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Ludwig%20Sylow.jpg","https://no.wikipedia.org/wiki/Peter_Ludvig_Meidell_Sylow"
"http://www.wikidata.org/entity/Q328782","Rashid-al-Din Hamadani","1247-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Presentation%20of%20the%20book%20%28the%20author%29%2C%20folio%206%20%28Biblioth%C3%A8que%20nationale%20de%20France%2C%20Suppl%C3%A9ment%20Persan%201113%29.jpg","https://no.wikipedia.org/wiki/Ra%C5%A1%C4%ABd_ad-D%C4%ABn"
"http://www.wikidata.org/entity/Q334760","Shing-Tung Yau","1949-04-04T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Shing-Tung%20Yau.jpg","https://no.wikipedia.org/wiki/Shing-Tung_Yau"
"http://www.wikidata.org/entity/Q335300","George Campbell, 8th Duke of Argyll","1823-04-30T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/George%20Douglas%20Campbell%2C%208th%20Duke%20of%20Argyll%20by%20George%20Frederic%20Watts.jpg","https://no.wikipedia.org/wiki/George_Campbell,_8._hertug_av_Argyll"
"http://www.wikidata.org/entity/Q65807","Reinhard Genzel","1952-03-24T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Reinhard%20Genzel.jpg","https://no.wikipedia.org/wiki/Reinhard_Genzel"
"http://www.wikidata.org/entity/Q73058","Willard Boyle","1924-08-19T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Nobel%20Prize%202009-Press%20Conference%20KVA-23.jpg","https://no.wikipedia.org/wiki/Willard_Boyle"
"http://www.wikidata.org/entity/Q76373","George E. Smith","1930-05-10T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Nobel%20Prize%202009-Press%20Conference%20KVA-27.jpg","https://no.wikipedia.org/wiki/George_E._Smith"
"http://www.wikidata.org/entity/Q76636","Gerhard Friedrich Müller","1705-10-29T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Gerhard%20Friedrich%20M%C3%BCller%2001.jpg","https://no.wikipedia.org/wiki/Gerhard_Friedrich_M%C3%BCller"
"http://www.wikidata.org/entity/Q78608","Carl Djerassi","1923-10-29T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Djerassi%20HD2004%20AIC%20Gold%20Medal%20crop.JPG","https://no.wikipedia.org/wiki/Carl_Djerassi"
"http://www.wikidata.org/entity/Q83333","James Watson","1928-04-06T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/James%20D.%20Watson%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/James_D._Watson"
"http://www.wikidata.org/entity/Q96575","Aloys Hirt","1759-06-27T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/AloysLudwigHirt.jpg","https://no.wikipedia.org/wiki/Aloys_Hirt"
"http://www.wikidata.org/entity/Q101740","Benoit Mandelbrot","1924-11-20T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Benoit%20Mandelbrot%20mg%201804-d.jpg","https://no.wikipedia.org/wiki/Beno%C3%AEt_Mandelbrot"
"http://www.wikidata.org/entity/Q102289","Buckminster Fuller","1895-07-12T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/BuckminsterFuller1.jpg","https://no.wikipedia.org/wiki/Richard_Buckminster_Fuller"
"http://www.wikidata.org/entity/Q103835","Peter Debye","1884-03-24T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Debye100.jpg","https://no.wikipedia.org/wiki/Peter_Debye"
"http://www.wikidata.org/entity/Q104104","Andre Geim","1958-10-21T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Andre%20Geim%202010-1.jpg","https://no.wikipedia.org/wiki/Andre_Geim"
"http://www.wikidata.org/entity/Q104592","Bruce Beutler","1957-12-29T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Bruce%20Beutler%20-%20Nobel%20Prize%202011-Press%20Conference%20KI-DSC%207508.jpg","https://no.wikipedia.org/wiki/Bruce_Beutler"
"http://www.wikidata.org/entity/Q104668","Vitaly Ginzburg","1916-10-04T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D0%B8%D0%B9%20%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D0%B5%D0%B2%D0%B8%D1%87%20%D0%93%D0%B8%D0%BD%D0%B7%D0%B1%D1%83%D1%80%D0%B3.jpg","https://no.wikipedia.org/wiki/Vitalij_Ginzburg"
"http://www.wikidata.org/entity/Q105572","Benjamin List","1968-01-11T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Empfang%20f%C3%BCr%20Benjamin%20List%20im%20Rathaus%20K%C3%B6ln-7597-crop.jpg","https://no.wikipedia.org/wiki/Benjamin_List"
"http://www.wikidata.org/entity/Q106399","John Howard Northrop","1891-07-05T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/John%20Howard%20Northrop.jpg","https://no.wikipedia.org/wiki/John_Howard_Northrop"
"http://www.wikidata.org/entity/Q106746","Richard Smalley","1943-06-06T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Smalley.png","https://no.wikipedia.org/wiki/Richard_Smalley"
"http://www.wikidata.org/entity/Q107420","Sheldon Glashow","1932-12-05T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Sheldon%20Glashow%20at%20Harvard.jpg","https://no.wikipedia.org/wiki/Sheldon_Lee_Glashow"
"http://www.wikidata.org/entity/Q108602","Susumu Tonegawa","1939-09-06T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Susumu%20Tonegawa%20Photo.jpg","https://no.wikipedia.org/wiki/Susumu_Tonegawa"
"http://www.wikidata.org/entity/Q108886","Harrison Schmitt","1935-07-03T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Schmitt%20Covered%20with%20Lunar%20Dirt%20-%20GPN-2000-001124.jpg","https://no.wikipedia.org/wiki/Harrison_Schmitt"
"http://www.wikidata.org/entity/Q109588","Serge Haroche","1944-09-11T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Serge%20Haroche%20at%20Techfest%2C%20IIT%20Bombay.jpg","https://no.wikipedia.org/wiki/Serge_Haroche"
"http://www.wikidata.org/entity/Q110106","Julius Axelrod","1912-05-30T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Julius%20Axelrod%203.jpg","https://no.wikipedia.org/wiki/Julius_Axelrod"
"http://www.wikidata.org/entity/Q114181","Gerd Kaminski","1942-12-14T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Prof.%20Dr.%20Gerd%20Kaminski-3864%20%2814191146914%29%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Gerd_Kaminski"
"http://www.wikidata.org/entity/Q115490","Tadeusz Reichstein","1897-07-20T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thadeus%20Reichstein%20ETH-Bib%20Portr%2010137.jpg","https://no.wikipedia.org/wiki/Tadeus_Reichstein"
"http://www.wikidata.org/entity/Q122014","Harald Rose","1935-02-14T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Harald%20Rose%20Dresden%202009-2.jpg","https://no.wikipedia.org/wiki/Harald_Rose"
"http://www.wikidata.org/entity/Q123089","Benjamin Constant","1767-10-25T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Henri-Benjamin%20Constant%20de%20Rebecque.png","https://no.wikipedia.org/wiki/Henri-Benjamin_Constant_de_Rebecque"
"http://www.wikidata.org/entity/Q128823","John Ambrose Fleming","1849-11-29T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/John%20Ambrose%20Fleming%201890.png","https://no.wikipedia.org/wiki/John_Ambrose_Fleming"
"http://www.wikidata.org/entity/Q132537","Robert Oppenheimer","1904-04-22T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Oppenheimer%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Robert_Oppenheimer"
"http://www.wikidata.org/entity/Q139890","Zack Snyder","1966-03-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/ZachSnyderMar2011.jpg","https://no.wikipedia.org/wiki/Zack_Snyder"
"http://www.wikidata.org/entity/Q150630","Camillo Golgi","1843-07-07T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Camillo%20Golgi%20nobel.jpg","https://no.wikipedia.org/wiki/Camillo_Golgi"
"http://www.wikidata.org/entity/Q152298","Gherman Titov","1935-09-11T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Gherman%20Titov%20%281962%29.jpg","https://no.wikipedia.org/wiki/German_Titov_(kosmonaut)"
"http://www.wikidata.org/entity/Q153238","Leó Szilárd","1898-02-11T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Leo%20Szilard.jpg","https://no.wikipedia.org/wiki/Le%C3%B3_Szil%C3%A1rd"
"http://www.wikidata.org/entity/Q153890","Niko Tinbergen","1907-04-15T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Nikolaas%20Tinbergen%201978.jpg","https://no.wikipedia.org/wiki/Nikolaas_Tinbergen"
"http://www.wikidata.org/entity/Q156201","Roman Jakobson","1896-10-10T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Roman%20Jakobson.jpg","https://no.wikipedia.org/wiki/Roman_Jakobson"
"http://www.wikidata.org/entity/Q156379","Yury Luzhkov","1936-09-21T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Yuri%20Luzhkov.jpg","https://no.wikipedia.org/wiki/Jurij_Luzjkov"
"http://www.wikidata.org/entity/Q157245","Michael Spence","1943-11-07T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/A%20Michael%20Spence.jpg","https://no.wikipedia.org/wiki/A._Michael_Spence"
"http://www.wikidata.org/entity/Q157250","Harry Kroto","1939-10-07T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Hkroto.jpg","https://no.wikipedia.org/wiki/Harold_Kroto"
"http://www.wikidata.org/entity/Q157701","Jaroslav Heyrovský","1890-12-20T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Heyrovsky%20Jaroslav.jpg","https://no.wikipedia.org/wiki/Jaroslav_Heyrovsk%C3%BD"
"http://www.wikidata.org/entity/Q160196","Martin Heinrich Klaproth","1743-12-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Heinrich%20Klaproth.jpg","https://no.wikipedia.org/wiki/Martin_Heinrich_Klaproth"
"http://www.wikidata.org/entity/Q164384","Theodore von Kármán","1881-05-11T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Theodor%20von%20K%C3%A1rm%C3%A1n%20sketch%201931.png","https://no.wikipedia.org/wiki/Theodor_von_K%C3%A1rm%C3%A1n"
"http://www.wikidata.org/entity/Q164396","Victor Ambartsumian","1908-09-18T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Viktor%20Ambartsumian%20%28published%201968%29.png","https://no.wikipedia.org/wiki/Viktor_Ambartsumian"
"http://www.wikidata.org/entity/Q356317","John Aubrey","1626-03-22T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/John%20Aubrey.jpg","https://no.wikipedia.org/wiki/John_Aubrey"
"http://www.wikidata.org/entity/Q357154","Gösta Mittag-Leffler","1846-03-16T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Magnus%20Goesta%20Mittag-Leffler%201.jpg","https://no.wikipedia.org/wiki/G%C3%B6sta_Mittag-Leffler"
"http://www.wikidata.org/entity/Q359568","Vladimir A. Obruchev","1863-10-10T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/1886-ObruchevVA.jpg","https://no.wikipedia.org/wiki/Vladimir_Obrutsjev"
"http://www.wikidata.org/entity/Q360445","Nick Holonyak","1928-11-03T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Nick%20Holonyak%20Jr.jpg","https://no.wikipedia.org/wiki/Nick_Holonyak"
"http://www.wikidata.org/entity/Q364270","Gustaf de Laval","1845-05-09T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/GustafDeLaval.jpg","https://no.wikipedia.org/wiki/Gustaf_de_Laval"
"http://www.wikidata.org/entity/Q365578","Nathan Myhrvold","1959-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Nathan%20Myhrvold.jpg","https://no.wikipedia.org/wiki/Nathan_Myhrvold"
"http://www.wikidata.org/entity/Q366827","Paul-Émile Lecoq de Boisbaudran","1836-04-18T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Lecoq%20de%20Boisbaudran.jpg","https://no.wikipedia.org/wiki/Paul_%C3%89mile_Lecoq_de_Boisbaudran"
"http://www.wikidata.org/entity/Q370982","Palladiy","1817-09-28T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%80%D1%85%D0%B8%D0%BC%D0%B0%D0%BD%D0%B4%D1%80%D0%B8%D1%82%20%D0%9F%D0%B0%D0%BB%D0%BB%D0%B0%D0%B4%D0%B8%D0%B9.jpg","https://no.wikipedia.org/wiki/Pjotr_Kafarov"
"http://www.wikidata.org/entity/Q377822","Per Teodor Cleve","1840-02-10T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Per%20Teodor%20Cleve%20c1885.jpg","https://no.wikipedia.org/wiki/Per_Teodor_Cleve"
"http://www.wikidata.org/entity/Q379219","Pierre Varignon","1654-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Varignon.%20Line%20engraving%20by%20E.%20Desrochers.%20Wellcome%20V0005993.jpg","https://no.wikipedia.org/wiki/Pierre_Varignon"
"http://www.wikidata.org/entity/Q431485","Joseph-Nicolas Delisle","1688-04-04T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Nicolas%20Delisle%20AGE%20V11%201803.jpg","https://no.wikipedia.org/wiki/Joseph-Nicolas_Delisle"
"http://www.wikidata.org/entity/Q434805","Augusto Boal","1931-03-16T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Augusto%20Boal%20nyc3cr.jpg","https://no.wikipedia.org/wiki/Augusto_Boal"
"http://www.wikidata.org/entity/Q437675","Jane Ellen Harrison","1850-09-09T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Jane%20Ellen%20Harrison%2002.jpg","https://no.wikipedia.org/wiki/Jane_Ellen_Harrison"
"http://www.wikidata.org/entity/Q439693","Lionel Logue","1880-02-26T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Logue%201937.jpg","https://no.wikipedia.org/wiki/Lionel_Logue"
"http://www.wikidata.org/entity/Q450317","Chien-Shiung Wu","1912-05-31T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Chien-shiung%20Wu%20%281912-1997%29%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Chien-Shiung_Wu"
"http://www.wikidata.org/entity/Q450757","Nevil Maskelyne","1732-10-06T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Maskelyne%20Nevil.jpg","https://no.wikipedia.org/wiki/Nevil_Maskelyne"
"http://www.wikidata.org/entity/Q453557","Bruno Pontecorvo","1913-08-22T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Bruno%20Pontecorvo%2C%201955.jpg","https://no.wikipedia.org/wiki/Bruno_Pontekorvo"
"http://www.wikidata.org/entity/Q454945","Charles Willson Peale","1741-04-15T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/CharlesWillsonPeale.jpeg","https://no.wikipedia.org/wiki/Charles_Willson_Peale"
"http://www.wikidata.org/entity/Q464166","Kathryn D. Sullivan","1951-10-03T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Kathryn%20D.%20Sullivan.jpg","https://no.wikipedia.org/wiki/Kathryn_D._Sullivan"
"http://www.wikidata.org/entity/Q469231","Dorothy Hansine Andersen","1901-05-15T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Dorothy%20Hansine%20Andersen.jpg","https://no.wikipedia.org/wiki/Dorothy_Hansine_Andersen"
"http://www.wikidata.org/entity/Q493956","Andrea M. Ghez","1965-06-16T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20Ghez%20%28cropped1%29.jpg","https://no.wikipedia.org/wiki/Andrea_M._Ghez"
"http://www.wikidata.org/entity/Q494455","Orville Wright","1871-08-19T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Orville%20Wright%201905-crop.jpg","https://no.wikipedia.org/wiki/Orville_Wright"
"http://www.wikidata.org/entity/Q503130","Hunayn ibn Ishaq","0808-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Hunayn%20ibn-Ishaq%20al-%27Ibadi%20Isagoge.jpg","https://no.wikipedia.org/wiki/Hunayn_ibn_Ishaq"
"http://www.wikidata.org/entity/Q504677","Robert Zubrin","1952-04-09T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Zubrin%20by%20the%20Mars%20Society.jpg","https://no.wikipedia.org/wiki/Robert_Zubrin"
"http://www.wikidata.org/entity/Q513559","Richard A. Muller","1944-01-06T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Berkeley-earth-group-meeting-6-25-13-large%20Richard%20Muller.jpg","https://no.wikipedia.org/wiki/Richard_A._Muller"
"http://www.wikidata.org/entity/Q514079","Heinrich Rantzau","1526-03-21T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich%20Rantzau%20mit%20Elefantenorden.jpg","https://no.wikipedia.org/wiki/Henrik_Rantzau"
